,User,Day in Study,Time of Day,Brush Time,Day Type,Proportion Brushed In Past 7 Days
407,P2_022,8,1,0.0,0,0.7857142857142857
408,P2_022,9,0,137.0,0,0.7142857142857143
409,P2_022,9,1,97.0,0,0.7142857142857143
410,P2_022,10,0,148.0,0,0.7142857142857143
411,P2_022,10,1,152.0,0,0.7142857142857143
412,P2_022,11,0,0.0,0,0.7142857142857143
413,P2_022,11,1,130.0,0,0.6428571428571429
414,P2_022,12,0,0.0,0,0.7142857142857143
415,P2_022,12,1,0.0,0,0.6428571428571429
416,P2_022,13,0,91.0,1,0.5714285714285714
417,P2_022,13,1,0.0,1,0.5714285714285714
418,P2_022,14,0,126.0,1,0.5714285714285714
419,P2_022,14,1,0.0,1,0.5714285714285714
420,P2_022,15,0,117.0,0,0.5
421,P2_022,15,1,124.0,0,0.5714285714285714
422,P2_022,16,0,122.0,0,0.6428571428571429
423,P2_022,16,1,0.0,0,0.6428571428571429
424,P2_022,17,0,0.0,0,0.5714285714285714
425,P2_022,17,1,153.0,0,0.5
426,P2_022,18,0,173.0,0,0.5
427,P2_022,18,1,143.0,0,0.5714285714285714
428,P2_022,19,0,165.0,0,0.5714285714285714
429,P2_022,19,1,145.0,0,0.6428571428571429
430,P2_022,20,0,140.0,1,0.7142857142857143
431,P2_022,20,1,150.0,1,0.7142857142857143
432,P2_022,21,0,107.0,1,0.7857142857142857
433,P2_022,21,1,98.0,1,0.7857142857142857
434,P2_022,22,0,114.0,0,0.8571428571428571
435,P2_022,22,1,0.0,0,0.8571428571428571
436,P2_022,23,0,115.0,0,0.7857142857142857
437,P2_022,23,1,148.0,0,0.7857142857142857
438,P2_022,24,0,107.0,0,0.8571428571428571
439,P2_022,24,1,101.0,0,0.9285714285714286
440,P2_022,25,0,126.0,0,0.9285714285714286
441,P2_022,25,1,0.0,0,0.9285714285714286
442,P2_022,26,0,110.0,0,0.8571428571428571
443,P2_022,26,1,0.0,0,0.8571428571428571
444,P2_022,27,0,0.0,1,0.7857142857142857
445,P2_022,27,1,0.0,1,0.7142857142857143
446,P2_022,28,0,118.0,1,0.6428571428571429
447,P2_022,28,1,0.0,1,0.6428571428571429
448,P2_024,1,0,165.0,0,0.0
449,P2_024,1,1,202.0,0,0.0
450,P2_024,2,0,100.0,0,0.0
451,P2_024,2,1,0.0,0,0.0
452,P2_024,3,0,141.0,0,0.0
453,P2_024,3,1,160.0,0,0.0
454,P2_024,4,0,211.0,0,0.0
455,P2_024,4,1,119.0,0,0.0
456,P2_024,5,0,115.0,0,0.0
457,P2_024,5,1,0.0,0,0.0
458,P2_024,6,0,118.0,1,0.0
459,P2_024,6,1,192.0,1,0.0
460,P2_024,7,0,190.0,1,0.0
461,P2_024,7,1,0.0,1,0.0
462,P2_024,8,0,131.0,0,0.7857142857142857
463,P2_024,8,1,157.0,0,0.7857142857142857
464,P2_024,9,0,136.0,0,0.7857142857142857
465,P2_024,9,1,130.0,0,0.7857142857142857
466,P2_024,10,0,106.0,0,0.8571428571428571
467,P2_024,10,1,131.0,0,0.8571428571428571
468,P2_024,11,0,143.0,0,0.8571428571428571
469,P2_024,11,1,0.0,0,0.8571428571428571
470,P2_024,12,0,132.0,0,0.7857142857142857
471,P2_024,12,1,141.0,0,0.7857142857142857
472,P2_024,13,0,98.0,1,0.8571428571428571
473,P2_024,13,1,109.0,1,0.8571428571428571
474,P2_024,14,0,0.0,1,0.8571428571428571
475,P2_024,14,1,162.0,1,0.7857142857142857
476,P2_024,15,0,103.0,0,0.8571428571428571
477,P2_024,15,1,0.0,0,0.8571428571428571
478,P2_024,16,0,0.0,0,0.7857142857142857
479,P2_024,16,1,143.0,0,0.7142857142857143
480,P2_024,17,0,133.0,0,0.7142857142857143
481,P2_024,17,1,0.0,0,0.7142857142857143
482,P2_024,18,0,127.0,0,0.6428571428571429
483,P2_024,18,1,157.0,0,0.6428571428571429
484,P2_024,19,0,106.0,0,0.7142857142857143
485,P2_024,19,1,91.0,0,0.7142857142857143
486,P2_024,20,0,135.0,1,0.7142857142857143
487,P2_024,20,1,0.0,1,0.7142857142857143
488,P2_024,21,0,138.0,1,0.6428571428571429
489,P2_024,21,1,158.0,1,0.7142857142857143
490,P2_024,22,0,118.0,0,0.7142857142857143
491,P2_024,22,1,96.0,0,0.7142857142857143
492,P2_024,23,0,130.0,0,0.7857142857142857
493,P2_024,23,1,134.0,0,0.8571428571428571
494,P2_024,24,0,103.0,0,0.8571428571428571
495,P2_024,24,1,0.0,0,0.8571428571428571
496,P2_024,25,0,100.0,0,0.8571428571428571
497,P2_024,25,1,130.0,0,0.8571428571428571
498,P2_024,26,0,0.0,0,0.8571428571428571
499,P2_024,26,1,0.0,0,0.7857142857142857
500,P2_024,27,0,0.0,1,0.7142857142857143
501,P2_024,27,1,91.0,1,0.6428571428571429
502,P2_024,28,0,118.0,1,0.7142857142857143
503,P2_024,28,1,101.0,1,0.7142857142857143
